internal_id,category_name,total_products
22395106,Oatmeal & Hot Cereal,56
22395107,Pancake Mixes & Syrup,25
22395108,Toaster Pastries & Breakfast Bars,19
22395109,Condiments,228
22395110,Cooking Wine,2
22395113,Sauces & Marinades,237
22395114,"Baking Chips, Nuts & Bars",19
22395115,Baking Mixes,55
22395117,Breadcrumbs & Breadings,30
22395119,Coconut,2
22395120,Cooking Oils & Sprays,85
22395122,Extracts & Coloring,6
22395123,Flour & Meals,54
22395124,"Frosting, Toppings & Decorations",77
22395125,Jello & Pudding Mix,57
22395126,Marshmallows,6
22395127,Pie Crusts & Filling,8
22395128,"Salt, Spices & Seasonings",368
22395129,Starch,3
22395130,Stuffing,14
22395131,Sugars & Sweeteners,77
22395132,Syrup,3
22395133,Yeast & Raising Agents,1
22395136,Cosmetics,3
22395137,Diet & Fitness,63
22395138,Hair & Body Care,242
22395139,Homeopathic,1
22395141,Medicine Cabinet,311
22395142,Personal Care,372
22395143,Skin Care,83
22395144,Vitamins & Supplements,51
22395145,Appliances,3
22395146,Baking & Food Storage,242
22395147,Charcoal & Grilling,30
22395148,Cleaning,319
22395149,Dish Detergent,32
22395151,Laundry Detergent,104
22395152,Newspapers & Magazines,1
22395153,Paper & Plastic,152
22395154,Party Supplies,52
22395155,School Supplies,105
22395156,Sewing & Shoe Care,15
22395157,Supplies & Maintenance,124
22395158,Tobacco,4
22395159,Water Softeners & Filters,1
22395160,Asian,31
22395161,Hispanic,958
22395162,Indian,2
22395163,Kosher,7
22395164,Boxed Meals,8
22395165,Macaroni & Cheese,28
22395166,Pasta & Noodle Dinner Kits,14
22395167,Pizza Kits,2
22395168,Potatoes & Stuffing,21
22395170,Taco & Dinner Kits,1
22395171,Gluten Free,1
22395172,Pasta & Noodles,197
22395173,Pasta Sauce,97
22395175,Honey,21
22395176,Jams & Preserves,27
22395177,Jellies,19
22395178,Marmalades,6
22395180,Peanut Butter,42
22395181,Bird,2
22395182,Cat,78
22395183,Dog,127
22395185,Small Animal,3
22395186,Brown Rice,7
22395188,Couscous,3
22395189,Dried Beans,31
22395190,Instant,4
22395192,Quinoa,4
22395193,Rice Dishes & Mix,58
22395194,White Rice,30
22395195,Wild Rice,1
22395196,Oil & Vinegar,105
22395197,Salad Dressing,158
22395198,"Chips, Crisps, Pretzels",233
22395199,Cookies,185
22395200,Crackers,153
22395201,"Doughnuts, Pies & Snack Cakes",71
22395202,Dried Goods,6
22395204,Jerky & Dried Meats,1
22395205,"Nuts, Seeds & Mixes",67
22395206,Packaged Candy,380
22395207,Popcorn,33
22395208,Prepared Candy & Nuts,17
22395210,"Salsa, Dips & Spreads",50
22395212,"Snack Bars, Fruit Snacks & Pudding",51
22395213,Fresh Fruit,72
22395214,Apples,13
22395215,Bananas & Plantains,6
22395216,Berries & Cherries,4
22395217,Citrus,12
22395218,Dried Fruit,8
22395219,Figs & Dates,1
22395220,Grapes,1
22395222,Melons,3
22395223,Packaged,2
22395224,Pears,3
22395225,Stone Fruit,5
22395226,Tropical & Specialty,12
22395227,Asian,2
22395228,Asparagus & Artichokes,2
22395229,Avocados,2
22395230,Beans & Peas,2
22395231,Broccoli & Cauliflower,4
22395232,Brussel Sprouts & Cabbage,3
22395233,Carrots & Beets,7
22395234,Celery,4
22395235,Corn,2
22395236,Cucumbers,3
22395237,Dried Vegetables,9
22395239,Hispanic,1
22395240,Onions & Garlic,24
22395241,Packaged,2
22395242,Peppers,19
22395243,Potatoes & Yams,5
22395244,Radishes,1
22395246,Squash & Zucchini,5
22395247,Tomatoes,7
22395248,Fruit,16
22395249,Vegetables,5
22395250,Fresh Herbs,14
22395251,Mushrooms,2
22395252,Packaged Herbs,7
22395253,Leafy Greens,6
22395254,Lettuce,4
22395256,Salad Mixes,13
22395257,Salad Toppings,4
22395258,Sprouts & Microgreens,1
22395260,Organic Fruits,1
22395264,Organic Vegetables,1
22395265,Buns,3
22395266,Rolls,3
22395267,Buns,26
22395268,Rolls,9
22395269,Cheesecakes,5
22395270,Fruit & Pound Cakes,2
22395272,Sheet & Cut Cakes,2
22395273,"Biscotti, Biscuits & Scones",5
22395274,"Butter, Sugar & Shortbread Cookies",5
22395275,Chocolate & Chocolate-Chip Cookies,2
22395276,Fruit Cookies,3
22395277,"Ginger Snaps, Pizzelles & Wafers",4
22395280,Nut Cookies,1
22395282,Sandwich Cookies,2
22395283,Brownies,2
22395284,Cinnamon Rolls,2
22395285,Coffee Cake & Strudel,2
22395286,Danishes & Kringle,6
22395287,Donuts,18
22395288,Turnovers,4
22395290,Cabernet Sauvignon,50
22395291,Malbec,7
22395292,Merlot,24
22395293,Pinot Noir,16
22395294,Syrah or Shiraz,3
22395296,Chardonnay,25
22395297,Pinot Grigio,13
22395298,Riesling,1
22395299,Sauvignon Blanc,12
22395300,White Zinfandel,15
22395301,Blue,2
22395304,Colby & Monterey Jack,1
22395305,Gouda,3
22395306,"Havarti, Muenster & Brick",1
22395307,Hispanic,22
22395308,Italian Cheese,6
22395309,"Mixed Milk, Goat, Sheep & Feta",6
22395311,Parmesan & Romano,2
22395312,"Shredded, Grated & Cubed",11
22395314,Soft Ripened & Brie,5
22395316,American,12
22395317,Blends,7
22395318,Blue,2
22395319,Brie,1
22395320,Cheddar,27
22395321,Colby,3
22395322,Feta,5
22395324,Gouda,5
22395325,Havarti,3
22395328,Monterey Jack,3
22395329,Mozzarella & Ricotta,24
22395330,Muenster,4
22395331,Parmesan,11
22395332,Pepper Jack,3
22395333,Provolone,3
22395334,Ricotta,2
22395335,Swiss,8
22395336,Velveeta,3
22395337,Cheese Spreads & Dips,15
22395338,Cream Cheese,27
22395339,Pate and Charcuterie,3
22395340,"String, Curds & Snack Cheeses",23
22395341,Creamers,25
22395342,Half & Half,25
22395343,Heavy Cream,2
22395344,Whipped,4
22395345,1% Milk,6
22395346,2% Milk,5
22395348,Canned,18
22395349,Chocolate & Flavored,18
22395350,Lactose Free,15
22395351,Organic,9
22395352,Skim & Nonfat,6
22395353,Vitamin D,1
22395354,Whole Milk,13
22395371,Candy,1
22395372,Chocolate,9
22395373,Chocolate Chip & Mint,4
22395374,Cookie Dough,4
22395375,Fruit Flavors,6
22395376,Neapolitan,5
22395377,Non Dairy,1
22395378,Other,26
22395379,Vanilla,17
22395381,Incense,2
22395382,Jar Candles,8
22395383,Pillar Candles,1
22395387,Coffee & Tea,1
22395388,Dishware,5
22395389,Kitchen Tools & Serving,100
22395391,Canned & Bottled Drinks,14
22395392,Creamers & Sweeteners,14
22395393,Filters,9
22395394,Ground,42
22395395,Iced,1
22395396,Instant,44
22395397,"Single Serve, K-Cups & Pods",18
22395398,Whole Bean,2
22395399,Apple,25
22395401,Cranberry,30
22395403,Fruit & Berry,46
22395404,Grape,13
22395406,Juice Boxes,39
22395407,Lemon Juice & Lemonade,12
22395408,Lime Juice & Limeade,4
22395409,Orange,6
22395410,Pineapple,8
22395411,Pomegranate & Berry,1
22395412,Smoothies,15
22395413,Sparkling Juice,8
22395414,Sparkling Probiotics & Kombucha,5
22395415,Vegetable & Tomato,24
22395416,Apple,1
22395417,Lemonade,2
22395418,Orange,9
22395419,Other Drinks,2
22395420,Other Juices,2
22395421,Mixes & Syrups,100
22395422,Nutrition,18
22395423,Cola,62
22395424,Diet,13
22395425,Fruit Flavors,30
22395426,Ginger Ale,21
22395427,Lemon-Lime & Citrus,71
22395428,Root Beer & Cream Soda,36
22395429,Black,5
22395430,Canned & Bottled Drinks,4
22395431,Chai,2
22395432,Green,12
22395434,Herbal,41
22395435,Iced,47
22395436,Instant,4
22395440,Soothing,1
22395441,Wellness,3
22395443,Club Soda & Tonic,17
22395444,Coconut,7
22395445,Flavored,28
22395446,Sparkling & Seltzer,46
22395447,Spring,56
22395448,Asian Soups & Ramen,41
22395449,Bean,8
22395450,Beef,9
22395452,"Bouillon, Stocks & Broths",41
22395453,Chicken,32
22395454,Chili,11
22395455,Chowder,6
22395457,Dry Soup Mixes,5
22395458,Minestrone,1
22395459,Mushroom,1
22395460,Pea,1
22395462,Tomato,3
22395464,Vegetable,34
22395466,Applesauce,30
22395467,Berries,1
22395468,Cherries,7
22395469,Citrus,10
22395470,Cranberry Sauce,2
22395471,Dried Fruit,13
22395473,Mixed Fruit,18
22395474,Peaches,17
22395475,Pears,7
22395476,Pineapple,18
22395477,Raisins,16
22395479,Beef & Veal,5
22395480,Ham,4
22395482,Poultry,6
22395483,Crab & Shrimp,1
22395484,Oysters & Clams,7
22395485,Salmon,6
22395486,Sardines,28
22395487,Tuna,62
22395488,Asparagus & Artichokes,12
22395489,Beans & Peas,142
22395490,Beets,8
22395491,Carrots,5
22395492,Chopped Tomatoes,2
22395493,Corn,20
22395494,Crushed & Puree Tomatoes,2
22395495,Diced Tomatoes & Pasta Paste,65
22395496,Mixed Vegetables,14
22395497,Onions & Garlic,11
22395498,Other Tomatoes,1
22395499,Peppers & Chilis,25
22395500,Potatoes & Yams,4
22395501,Pumpkin,2
22395502,Sauerkraut,5
22395503,Spinach,2
22395505,Tomato Paste,4
22395506,Tomato Sauce,6
22395507,Water Chestnuts,1
22395510,Horseradish,3
22395511,Ketchup,15
22395512,Mayonnaise,56
22395513,Mustard,22
22395514,Olives,40
22395515,Pickles & Relish,80
22395521,Asian Sauces & Oils,10
22395522,Barbeque Sauce,27
22395523,Chile Paste,4
22395524,Cocktail Sauce,11
22395525,Curry Sauce,3
22395526,Gravy,40
22395527,Gravy Mixes,2
22395528,Hot Sauce,46
22395529,Marinades,23
22395531,Pesto,1
22395532,Pizza Sauce,1
22395534,Seafood,1
22395535,Soy Sauce,10
22395536,Steak Sauce,13
22395537,Stir Fry,2
