internal_id,name,upc,internal_category_id,brand,weight,height,width,length,color
1009739!item.en-US,Harry's Chrome Edition Razor Set 13 Cartridges + 1 Handle,840317400953,/grocery-household.html,"[""Harry's""]",,,,,
1798450!item.en-US,"Orgain 30g Milk Protein Shake, Chocolate Fudge, 11 fl oz, 18-pack",851770008082,/grocery-household.html,['Orgain'],,,,,
2322011!item.en-US,"Kirkland Signature Alkaline AAA Batteries, 48-count",196633913074,/grocery-household.html,['Kirkland Signature'],,,,,
1806649!item.en-US,"Neutrogena Makeup Remover Wipes, 125-count",070501072745,/grocery-household.html,['Neutrogena'],,,,,
1397147!item.en-US,"Kirkland Signature Bar Soap with Shea Butter, 15 Bars",096619140138,/grocery-household.html,['Kirkland Signature'],,,,,
1418060!item.en-US,"Kirkland Signature Moisture Conditioner, 33.8 fl oz, 1-count",096619042319,/grocery-household.html,['Kirkland Signature'],,,,,
1492769!item.en-US,"Gillette Venus Sensitive Plus Disposable Razor, 15-count",047400672574,/grocery-household.html,['Gillette'],,,,,
1587186!item.en-US,"Gillette Proglide Plus Razor Cartridge Refills, 16-count",047400676381,/grocery-household.html,['Gillette'],,,,,
1516973!item.en-US,"Gillette Ultimate Protection 6-in-1 Antiperspirant, 3.8 oz, 5-pack",047400561434,/grocery-household.html,['Gillette'],,,,,
1587357!item.en-US,"Muscle Milk Genuine Protein Shake Chocolate, 11 fl oz, 18-pack",052000051933,/grocery-household.html,['Muscle Milk'],,,,,
664635!item.en-US,"Swisspers Premium Hypoallergenic Cotton Rounds, 900-count",048341007982,/grocery-household.html,['U.S. Cotton'],,,,,
662821!item.en-US,"Duracell 9V Alkaline Batteries, 8-count",041333660219,/grocery-household.html,['Duracell'],,,,,
1699741!item.en-US,"Gillette Venus Comfort Glide Sunny Citrus, 1 Razor + 12 Cartridges Gel",047400680753,/grocery-household.html,['Gillette'],,,,,
1395061!item.en-US,"Advantage Premium Bright Ink Jet and Laser Paper, 8.5""x11"" Letter, White, 24lb, 97 Bright, 1 Ream of 800 Sheets",850013506057,/office-products.html,['Advantage'],,,,,
620595!item.en-US,"Nestle Nido Kinder 1+ Toddler Powdered Milk, 4.85 lbs",028000216283,/grocery-household.html,['Nestle'],,,,,
1737189!item.en-US,"Neutrogena Hydro Boost Water Cream, 1.7 fl oz, 2-pack",070501072424,/grocery-household.html,['Neutrogena'],,,,,
1095660!item.en-US,"Duracell C Alkaline Batteries, 14-count",041333668680,/grocery-household.html,['Duracell'],,,,,
1095663!item.en-US,"Duracell D Alkaline Batteries, 14-count",400010956630,/grocery-household.html,['Duracell'],,,,,
415022!item.en-US,Scotch Heavy Duty Shipping Tape 8-pack,051141987460,/office-products.html,['Scotch'],,,,,
986654!item.en-US,"Unitex 100% Cotton Towel, White, 14 in x 17 in, 52-count",6722887777786,/grocery-household.html,['Unitex'],,,,,
1750832!item.en-US,"Zevo Flying Insect Trap Starter Kit, 2 Devices + 6 Refills",810121290118,/garden-center.html,['Zevo'],,,,,
72147!item.en-US,"TUMS Antacid Ultra Strength, 265 Chewable Tablets",307663072147,/acid-relief.html,['Tums'],,,,,
1368591!item.en-US,"always Ultra Thin Advanced Overnight Pads, 76-count",037000561538,/grocery-household.html,['always'],,,,,
1235761!item.en-US,"trunature Pacran Cranberry 650 mg., 140 Vegetarian Capsules",096619281626,/grocery-household.html,['trunature'],,,,,
1578895!item.en-US,"Band-Aid Adhesive Bandages, Assorted, 198-count",381372020378,/grocery-household.html,['Band-Aid'],,,,,
1842854!item.en-US,Tampax Pearl Advanced Duopack,073010719743,/grocery-household.html,['Tampax'],,,,,
1368594!item.en-US,"always Ultra Thin Advanced Long Pads, 88-count",037000561507,/grocery-household.html,['always'],,,,,
1299388!item.en-US,"Preparation H Medicated Hemorrhoidal Wipes, 180 Wipes",305730556958,/grocery-household.html,['Preparation H'],,,,,
1928295!item.en-US,"Dove Deep Moisture Body Wash, 23 fl oz, 3-pack",011111059467,/grocery-household.html,['Dove'],,,,,
4054232!item.en-US,"Kirkland Signature Coffee Organic Pacific Bold K-Cup Pod, 120-count",096619008094,/kirkland-signature-groceries.html,['Kirkland Signature'],,,,,
4054238!item.en-US,"Kirkland Signature Coffee Organic Breakfast Blend K-Cup Pod, 120-count",096619008070,/kirkland-signature-groceries.html,['Kirkland Signature'],,,,,
4054210!item.en-US,"Kirkland Signature Coffee Organic Summit Roast K-Cup Pod, 120-count",096619008063,/kirkland-signature-groceries.html,['Kirkland Signature'],,,,,
3123235!item.en-US,"Starbucks Pike Place Medium Roast K-Cup, 72-count",050000856503,/grocery-household.html,['Starbucks'],,,,,
17767!item.en-US,"Kirkland Signature Colombian Coffee, Dark Roast, 3 lbs",096619177677,/kirkland-signature-groceries.html,['Kirkland Signature'],,,,,
670441!item.en-US,"Peet's Coffee Major Dickason's Blend Coffee, Dark Roast, Whole Bean, 2 lbs",785357007987,/whole-bean-coffee.html,"[""Peet's Coffee""]",,,,,
