id,name,upc,category,brand,weight,height,width,length,color
1915678!item.en-US,MrCool DIY 5th Gen 24K BTU Ductless Mini-Split Heat Pump,840255588560,/air-conditioners.html,['MRCOOL'],,,,,
1035104!item.en-US,CUCKOO True HEPA 5-Stage Air Purifier with 2 year Replacement Filter,499995594418,/appliances.html,['Cuckoo'],['15.4 lb.'],,,,
1727624!item.en-US,"Vornado VH203 Personal Space Heater, 2-Pack",043765020012,/appliances.html,['Vornado'],['2.12 lb.'],,,,['Black']
1292967!item.en-US,Winix Tower XQ Air Purifier,400002292968,/appliances.html,['Winix'],['30.86 lb.'],,,,['White']
1928056!item.en-US,Windmill Air Purifier with Additional HEPA Filter,198715486773,/appliances.html,['Windmill'],['18 lb.'],,,,['White']
1533513!item.en-US,Vornado Energy Smart Evaporative 2G Humidifier,043765017364,/humidifiers.html,['Vornado'],['8.92 lb.'],,,,['White']
1827183!item.en-US,Vornado VMHi605 Whole Room Heater,499995007208,/appliances.html,['Vornado'],['9.88 lb.'],,,,['Multi']
1871118!item.en-US,"Hisense 8,000 BTU Smart Inverter Window Air Conditioner with Easy Install Bracket",810088367809,/air-conditioners.html,['Hisense'],['51.8 lb.'],,,,['White']
11753308MPI!item.en-US,Lennox Heating and Air Conditioning Systems,,/installed-products.html,,,,,,
1714662!item.en-US,Lasko Ceramic Tower Heater with Remote Control,046013771575,/appliances.html,['Lasko'],,,,,['Black']
2789239!item.en-US,"JISULIFE Neck Fan, 2-pack",850056802734,/appliances.html,['JISULIFE'],,,,,['Gray']
1871173!item.en-US,Hisense 8000 BTU Dual Hose Portable Tower Air Conditioner,810088367786,/air-conditioners.html,['Hisense'],['72 lb.'],,,,['White']
1822262!item.en-US,"Bosch 800 Series Top Control Towel Bar Handle Dishwasher, Stainless Steel Tub, CrystalDry Technology, Ultra Quiet 42 dBa",825225974086,/appliances.html,['Bosch'],['116 lb.'],,,,['Stainless Steel']
1732318!item.en-US,LG Front Control Dishwasher with NeveRust Stainless Steel Tub and Dynamic Dry,048231345354,/appliances.html,['LG'],['75.61 lb.'],,,,['Stainless Steel']
6660750!item.en-US,Whirlpool Top Control Dishwasher with Soak and Clean Cycle,883049540788,/appliances.html,['Whirlpool'],['85 lb.'],,,,['Stainless Steel']
1315089!item.en-US,Samsung 24 in 39 dBA Top Control Smart Dishwasher with AutoRelease and Linear Wash,887276296623,/appliances.html,['Samsung'],['95 lb.'],,,,['Black Stainless Steel']
1426119!item.en-US,Whirlpool Top Control Dishwasher with 3rd Rack and Large Capacity,883049540726,/appliances.html,['Whirlpool'],['100 lb.'],,,,['Stainless Steel']
1719029!item.en-US,"Bosch 500 Series Top Control Pocket Handle Dishwasher, Stainless Steel Tub, PureDry Technology, Ultra Quiet 44 dBa",825225974130,/appliances.html,['Bosch'],,,,,['Stainless Steel']
1051899!item.en-US,Allstate 3 Years (For Major Appliances Under $1000),844932068345,/cooking-appliances.html,['Allstate'],,,,,
1712913!item.en-US,Whirlpool Top Control 55 dBA Fingerprint Resistant Quiet Dishwasher with Boost Cycle,883049621852,/appliances.html,['Whirlpool'],,,,,['Stainless Steel']
1700647!item.en-US,Whirlpool 55 dBA Quiet Dishwasher with Boost and Pocket Handle,883049627045,/appliances.html,['Whirlpool'],,,,,['Stainless Steel']
1823433!item.en-US,KitchenAid Hidden Control 44 dBA Dishwasher with PrintShield Finish and FreeFlex Third Level Rack,883049680316,/appliances.html,['KitchenAid'],['59 lb.'],,,,['Stainless Steel']
1051901!item.en-US,Allstate 3 Years (For Major Appliances $1000 to $2000),844932068352,/cooking-appliances.html,['Allstate'],,,,,
1877524!item.en-US,"KitchenAid Third Level Jet Rack Dishwasher with 40+ Total Wash Jets, 41 dBA",883049701264,/appliances.html,['KitchenAid'],['100 lb.'],,,,['Stainless Steel']
1751684!item.en-US,Samsung 51 dBA Fingerprint Resistant Top Control Dishwasher with AutoRelease and 3rd Rack,887276772905,/appliances.html,['Samsung'],['71 lb.'],,,,['Stainless Steel']
1712915!item.en-US,Whirlpool Top Control 51 dBA Quiet Dishwasher with 3rd Rack,883049622002,/appliances.html,['Whirlpool'],,,,,['Stainless Steel']
6660753!item.en-US,Whirlpool Top Control Large Capacity Dishwasher with Leak Detection System,883049540696,/appliances.html,['Whirlpool'],,,,,"['Stainless Steel', 'Stainless Steel']"
1051909!item.en-US,Allstate 3 Years (For Major Appliances Above $2000),844932068369,/cooking-appliances.html,['Allstate'],,,,,
6660747!item.en-US,Maytag Front Control Dishwasher  with Dual Power Filtration,883049532905,/appliances.html,['Maytag'],,,,,['Stainless Steel']
1788286!item.en-US,"GE 45 dBa Top Control Dishwasher with Stainless Steel Tub, 3rd Rack and Bottle Jets",084691914464,/appliances.html,['GE Appliances'],['99 lb.'],,,,['Stainless Steel']
1788911!item.en-US,"GE 47 dBa Top Control Dishwasher with Stainless Steel Interior, 3rd Rack and Sanitize Cycle",084691914396,/appliances.html,['GE Appliances'],['99 lb.'],,,,"['Stainless Steel', 'Stainless Steel']"
1719030!item.en-US,"Bosch 100 Series Top Control Towel Bar Handle Dishwasher with 3rd Rack, Adjustable Middle Rack, 46 dBa",825225969013,/appliances.html,['Bosch'],['67 lb.'],,,,['Stainless Steel']
1766941!item.en-US,GE Profile 44 dBa Top Control Dishwasher with Stainless Steel Interior and Microban Antimicrobial Technology,084691914488,/appliances.html,['GE Profile'],['105 lb.'],,,,['Stainless Steel']
