product_id,status,list_price,unit_price,sale_price,store_id
1035104!item.en-US,in stock,399.99,399.99,399.99,847_0-edi
1727624!item.en-US,in stock,67.99,67.99,67.99,847_0-edi
1292967!item.en-US,in stock,479.99,359.99,359.99,847_0-edi
1928056!item.en-US,in stock,289.99,289.99,289.99,731-wm
1533513!item.en-US,in stock,79.99,79.99,79.99,847_0-edi
1827183!item.en-US,in stock,99.99,99.99,99.99,847_0-edi
1871118!item.en-US,in stock,299.99,219.99,219.99,731-wm
11753308MPI!item.en-US,in stock,1.03,1.03,1.03,9847-wcs
1714662!item.en-US,in stock,54.99,54.99,54.99,1-wh
2789239!item.en-US,in stock,42.99,42.99,42.99,1-wh
1871173!item.en-US,in stock,379.99,379.99,379.99,758-wm
V100343!item.en-US,in stock,4499.96,4499.96,4499.96,847_ss_u362-edi
V100344!item.en-US,in stock,4519.96,4519.96,4519.96,847_ss_u362-edi
V100340!item.en-US,in stock,4419.96,4419.96,4419.96,847_ss_u362-edi
V100339!item.en-US,in stock,4399.96,4399.96,4399.96,847_ss_u362-edi
1708796!item.en-US,in stock,8499.99,8499.99,8499.99,847_0-edi
1708798!item.en-US,in stock,7999.99,7999.99,7999.99,847_0-edi
1708799!item.en-US,in stock,10499.99,10499.99,10499.99,847_0-edi
V100604!item.en-US,in stock,6779.96,6779.96,6779.96,1-wh
V100580!item.en-US,in stock,3519.96,3519.96,3519.96,847_ss_u362-edi
V100593!item.en-US,in stock,3909.96,3909.96,3909.96,847_0-edi
V100578!item.en-US,in stock,3339.96,3339.96,3339.96,847_ss_u362-edi
V100599!item.en-US,in stock,6829.96,6829.96,6829.96,1-wh
V100583!item.en-US,in stock,3539.96,3539.96,3539.96,847_ss_u362-edi
V100600!item.en-US,in stock,6179.96,6179.96,6179.96,1-wh
V100579!item.en-US,in stock,3019.96,3019.96,3019.96,847_ss_u362-edi
V100581!item.en-US,in stock,3199.96,3199.96,3199.96,847_ss_u362-edi
V100582!item.en-US,in stock,3519.96,3519.96,3519.96,847_ss_u362-edi
V100595!item.en-US,in stock,3609.96,3609.96,3609.96,847_0-edi
1059350!item.en-US,in stock,174.99,174.99,174.99,847_0-edi
1059351!item.en-US,in stock,299.99,299.99,299.99,847_0-edi
1059354!item.en-US,in stock,399.99,399.99,399.99,847_0-edi
1722387!item.en-US,in stock,1149.99,1149.99,1149.99,847_0-edi
1815343!item.en-US,in stock,1099.99,1099.99,1099.99,1250-3pl
1324171!item.en-US,in stock,899.99,899.99,899.99,847_0-edi
2566127!item.en-US,in stock,779.99,779.99,779.99,847_0-edi
1675081!item.en-US,in stock,749.99,749.99,749.99,847_lg_n1f-edi
1566127!item.en-US,in stock,729.99,729.99,729.99,847_0-edi
1748185!item.en-US,in stock,679.99,679.99,679.99,847_ss_u362-edi
1675076!item.en-US,in stock,649.99,649.99,649.99,847_lg_n1f-edi
1148759!item.en-US,in stock,649.99,649.99,649.99,847_0-edi
1561585!item.en-US,in stock,629.99,629.99,629.99,847_ss_u362-edi
1148758!item.en-US,in stock,579.99,579.99,579.99,847_0-edi
1805412!item.en-US,in stock,579.99,579.99,579.99,847_ss_u362-edi
1805417!item.en-US,in stock,529.99,529.99,529.99,847_ss_u362-edi
1856870!item.en-US,in stock,499.99,499.99,499.99,1250-3pl
1675080!item.en-US,in stock,499.99,499.99,499.99,847_lg_n1f-edi
1675074!item.en-US,in stock,449.99,449.99,449.99,847_lg_n1f-edi
1877529!item.en-US,in stock,429.99,429.99,429.99,1250-3pl
1474438!item.en-US,in stock,429.99,429.99,429.99,1250-3pl
1841106!item.en-US,in stock,249.99,249.99,249.99,847_0-edi
1869902!item.en-US,in stock,199.99,199.99,199.99,731-wm
2325470!item.en-US,in stock,159.99,159.99,159.99,1-wh
1804559!item.en-US,in stock,79.99,79.99,79.99,847_0-edi
100140200!item.en-US,in stock,1.04,1.04,1.04,9847-wcs
1051899!item.en-US,in stock,89.99,89.99,89.99,847_0-edi
1051901!item.en-US,in stock,119.99,119.99,119.99,1-wh
1715560!item.en-US,out of stock,499.97,499.97,499.97,1456-3pl
1639029!item.en-US,in stock,749.99,749.99,749.99,1250-3pl
1051909!item.en-US,in stock,159.99,159.99,159.99,847_0-edi
1542598!item.en-US,out of stock,1499.99,1499.99,1499.99,847_lg_n1f-edi
1612746!item.en-US,in stock,849.99,849.99,849.99,847_0-edi
1725517!item.en-US,in stock,829.99,829.99,829.99,1250-3pl
1542910!item.en-US,in stock,779.99,779.99,779.99,847_ss_u362-edi
1756062!item.en-US,in stock,1699.99,1699.99,1699.99,1250-3pl
1823435!item.en-US,in stock,1049.99,1049.99,1049.99,1250-3pl
1817801!item.en-US,in stock,979.99,979.99,979.99,847_0-edi
1819800!item.en-US,in stock,849.99,849.99,849.99,1250-3pl
1516430!item.en-US,in stock,2649.99,2649.99,2649.99,847_0-edi
1805427!item.en-US,in stock,1399.99,1399.99,1399.99,847_ss_u362-edi
1542915!item.en-US,in stock,779.99,779.99,779.99,847_ss_u362-edi
1856867!item.en-US,in stock,749.99,749.99,749.99,1250-3pl
1426891!item.en-US,in stock,1999.99,1999.99,1999.99,847_0-edi
1756068!item.en-US,in stock,2099.99,2099.99,2099.99,1250-3pl
1838054!item.en-US,in stock,999.99,999.99,999.99,847_0-edi
1516436!item.en-US,in stock,2799.99,2799.99,2799.99,847_0-edi
1847442!item.en-US,in stock,899.99,899.99,899.99,847_0-edi
