id,name,gtin,category,brand,rating
156471,"BREATH SAVERS Wintergreen Sugar Free Breath Mints Rolls, 0.75 oz., 24 ct.",,1457,Breath Savers,4.7926
P03014519,"Ricolino Bubulubu, Mini, 50 ct.",75752804830,690107,Ricolino,4.2804
P990368824,"Member's Mark White Chocolate Cookie Crunch Bark, 20 oz.",19396846191,690107,Member's Mark,4.461
P990358713,"REESE'S Miniatures Milk Chocolate Peanut Butter Cups Candy, 56 oz.",3400044924,690107,REESE'S,4.8629
P990363550,"Ring Pop Egg Hunt Candy, Variety Pack, 50 ct. ",4111616430,16290834,Ring Pop,4.8462
P00012439,"CRUNCH Candy Bars, Full Size, 1.55 oz., 36 pk.",9990070387,690107,Nestle,4.8782
123813,"Swedish Fish Mini Soft and Chewy Candy, 3.5 lbs.",7046243160,16290835,Swedish Fish,4.7845
P990396183,"Ring Pop Red, White, And Blue Variety Pack, 32 ct.",4111606383,16290834,Ring Pop,3.0
P990366398,"Trident Fruit Sugar Free Gum Variety Pack, 14 pcs.., 20 pk.",7339005056,1457,TRIDENT,4.5385
prod22751136,"Mike and Ike Original Fruits, 54 oz.",,16290835,Mike and Ike,4.8072
P990366399,"Trident Tropical Twist Sugar Free Gum, 14 pcs., 15 pk.",,1457,TRIDENT,4.8667
P03000298,"Sweet Candy Assorted Salt Water Taffy, 4 lbs.",7144303358,16290835,Sweet Candy Company,4.4459
P990392881,"Glico Pocky Chocolate Covered Biscuit Sticks, 1.41 oz.,12 pk.",7314115512,690107,Pocky,5.0
P990392972,"REESE'S PB&J Snack Size, 39 oz.",3400045515,690107,REESE'S,4.0957
200168,"SNICKERS Milk Chocolate Candy Bars, Share Size, 3.29 oz., 24 pk.",4000032252,690107,Snickers,4.678
P990392879,"Snack Factory S'mores Pretzel Crisps, 20 Oz.",4950825270,690107,SNACK FACTORY,3.5
P990347164,"Feastables MrBeast Variety Pack Milk Chocolate Bars, 1.24 oz., 24 pk.",85005023879,690107,MR BEAST,4.4344
P990366400,"Trident Cinnamon Sugar Free Gum, 14 pieces, 15 pk.",,1457,TRIDENT,4.4286
P03014853,"WHOPPERS Robin Eggs Malted Milk Balls, Easter Candy 43 oz.",3400006799,690107,WHOPPERS,4.8267
prod8150219,"3 Musketeers Chocolate Candy Bars, Full Size, 1.92 oz., 36 pk. ",,690107,3 Musketeers,4.6331
prod21451354,"Trident Original Sugar Free Gum, 14 pcs., 15 pk.",,1457,Trident,4.7962
148972,"REESE'S Milk Chocolate Peanut Butter Cups, King Size, 2.8 oz., 24 pk.",,690107,Reese's,4.671
prod21451341,"Trident Cinnamon Sugar Free Gum, 14 pcs., 15 pk.",,1457,Trident,4.7042
P990329975,"Airheads Xtremes Bites Rainbow Berry, 2 oz., 18 pk.",,16290835,Airheads,4.2273
prod21451345,"Trident Fruit Variety Pack, Sugar Free Gum, 14 pcs., 20 pk.",,1457,Trident,4.6327
prod22182565,"Wrigley's 5 Peppermint Cobalt Gum, 35 pcs., 6 pk.",2200002078,1457,Wrigley's,4.7161
P990346525,"Paleta Payaso Chocolate Marshmallow Lollipop, 1.58 oz., 15 pk.",7432303539,16290834,RICOLINO,4.7619
P03023879,"HERSHEY'S Easter Eggs, Assorted Chocolate Flavored Candy, 190 pcs.",3400099821,690107,HERSHEY'S,4.419
131692,"Dubble Bubble Gumballs Assorted Fruit, 850 pcs. ",5964201008,1457,Dubble Bubble,4.6398
